,.INX_Open,.INX_High,.INX_Low,.INX_Close,.INX_Volume
2015-05-08,2079.96,2092.9,2074.99,2088.0,523758356
2015-05-09,2092.13,2117.66,2092.13,2116.1,524517688
2015-05-12,2115.56,2117.69,2104.58,2105.33,467022504
2015-05-13,2102.87,2105.06,2085.57,2099.12,468682965
2015-05-14,2099.62,2110.19,2096.04,2098.48,473510272
2015-05-15,2100.43,2121.45,2100.43,2121.1,477949241
2015-05-16,2122.07,2123.89,2116.79,2122.73,609123759
2015-05-19,2121.3,2131.78,2120.01,2129.2,444239990
2015-05-20,2129.45,2133.02,2124.5,2127.83,493349176
2015-05-21,2127.79,2134.72,2122.59,2125.85,477723201
2015-05-22,2125.55,2134.28,2122.95,2130.82,468557139
2015-05-23,2130.36,2132.15,2126.06,2126.06,423419513
2015-05-27,2125.34,2125.34,2099.18,2104.2,557833108
2015-05-28,2105.13,2126.22,2105.13,2123.48,511248450
2015-05-29,2122.27,2122.27,2112.86,2120.79,434135669
2015-05-30,2120.66,2120.66,2104.89,2107.39,760129761
2015-06-02,2108.64,2119.15,2102.54,2111.73,488083175
2015-06-03,2110.41,2117.59,2099.14,2109.6,471166195
2015-06-04,2110.64,2121.92,2109.61,2114.07,464527279
2015-06-05,2112.35,2112.89,2093.23,2095.84,521557720
2015-06-06,2095.09,2100.99,2085.67,2092.83,559311850
2015-06-09,2092.34,2093.01,2079.11,2079.28,488323296
2015-06-10,2079.07,2085.62,2072.14,2080.15,488823113
2015-06-11,2081.12,2108.5,2081.12,2105.2,507555252
2015-06-12,2106.24,2115.02,2106.24,2108.86,529774046
2015-06-13,2107.43,2107.43,2091.33,2094.11,449503626
2015-06-16,2091.34,2091.34,2072.49,2084.43,504787125
2015-06-17,2084.26,2097.4,2082.1,2096.29,410710293
2015-06-18,2097.4,2106.79,2088.86,2100.44,480805890
2015-06-19,2101.58,2126.65,2101.58,2121.24,544428661
2015-06-20,2121.03,2121.64,2109.38,2109.99,1255422639
